SO0_NRID;REVIEW
719952;Good service, satisfied
1453609;No opinion
1453614;No opinion
1453602;Excellent service, very satisfied
1252497;No opinion
1400065;No opinion
719546;Good service, satisfied
21013060504838;Not completely satisfied
22733168394242;Good service, satisfied
21494752587036;Good service, satisfied
1252933;Good service, satisfied
1246518;Good service, satisfied
21511356114642;Good service, satisfied
1251879;Excellent service, very satisfied
1246540;Good service, satisfied
1251884;No opinion
1246529;No opinion
1246550;Good service, satisfied
1246556;Good service, satisfied
21444856404640;Good service, satisfied
1246568;Good service, satisfied
1251889;Good service, satisfied
1251894;Good service, satisfied
1246043;No opinion
725503;Good service, satisfied
1246000;Good service, satisfied
720057;No opinion
1453722;No opinion
726792;Good service, satisfied
21095288373846;Good service, satisfied
1453559;Very bad service, very unsatisfied
24005644445652;No opinion
727745;No opinion
719601;No opinion
1245691;Good service, satisfied
1400023;No opinion
1400028;Good service, satisfied
875404;No opinion
22121868176046;Good service, satisfied
727777;No opinion
1251123;No opinion
720379;Good service, satisfied
1246217;Excellent service, very satisfied
22422548107054;Not completely satisfied
725482;Good service, satisfied
719847;Excellent service, very satisfied
1246182;No opinion
1453503;No opinion
20996888682840;No opinion
1399998;Good service, satisfied
719414;Good service, satisfied
1399954;No opinion
1246307;No opinion
20425968604036;No opinion
23921460334050;Good service, satisfied
720391;Good service, satisfied
1253197;No opinion
720201;Good service, satisfied
1453619;Excellent service, very satisfied
1400302;Good service, satisfied
18166576523046;Good service, satisfied
1253162;Good service, satisfied
18265056203838;Good service, satisfied
1402811;No opinion
720439;Excellent service, very satisfied
719968;No opinion
719974;Good service, satisfied
719984;No opinion
720000;No opinion
21682248532646;Good service, satisfied
22921952247044;Excellent service, very satisfied
21596872427248;Good service, satisfied
1253172;Good service, satisfied
21833156676046;Good service, satisfied
23841864406642;No opinion
1251094;Good service, satisfied
1399849;No opinion
875083;No opinion
1245508;No opinion
1402786;No opinion
725608;Excellent service, very satisfied
720479;Good service, satisfied
720305;No opinion
1246137;Good service, satisfied
22116348652642;Not completely satisfied
22214968507438;No opinion
19436668202248;Good service, satisfied
1251831;Good service, satisfied
1453554;Not completely satisfied
18226564673640;No opinion
1453669;No opinion
875265;No opinion
23321960415842;Excellent service, very satisfied
875376;No opinion
875382;Good service, satisfied
727689;Good service, satisfied
875090;No opinion
875096;Not completely satisfied
22682560158254;No opinion
1245557;Excellent service, very satisfied
1252954;No opinion
21334160185452;Good service, satisfied
21992764466840;No opinion
21356056334640;Good service, satisfied
1451799;Good service, satisfied
22453284102650;Good service, satisfied
1246187;Good service, satisfied
720122;Good service, satisfied
1453679;No opinion
719858;Good service, satisfied
1459339;Not completely satisfied
879952;Good service, satisfied
22602660676052;Good service, satisfied
21284372477248;Good service, satisfied
53825019;No opinion
720396;No opinion
1453998;No opinion
720151;Good service, satisfied
1454003;Excellent service, very satisfied
720128;No opinion
725487;Good service, satisfied
1453853;Not completely satisfied
1460894;Good service, satisfied
1453986;No opinion
728223;Good service, satisfied
1453492;No opinion
1453412;Good service, satisfied
19723288383240;Not completely satisfied
719351;Good service, satisfied
719345;Excellent service, very satisfied
719274;Excellent service, very satisfied
21765272487248;Excellent service, very satisfied
726881;Good service, satisfied
1246278;No opinion
726846;Good service, satisfied
1456875;Not completely satisfied
1456869;No opinion
720461;Good service, satisfied
720467;No opinion
720231;Good service, satisfied
19842068202248;No opinion
45554723;Good service, satisfied
18321288654234;Good service, satisfied
719768;Good service, satisfied
719773;No opinion
719784;Excellent service, very satisfied
23556656495840;No opinion
1245704;Excellent service, very satisfied
725428;Good service, satisfied
719490;Good service, satisfied
720511;Good service, satisfied
720294;Good service, satisfied
1454169;Good service, satisfied
720072;Good service, satisfied
23993984163846;No opinion
720087;Good service, satisfied
719802;No opinion
22454064263648;Good service, satisfied
1245957;Good service, satisfied
21291456534638;Good service, satisfied
725477;Not completely satisfied
22793572428248;Good service, satisfied
23495080677244;Good service, satisfied
728213;Good service, satisfied
1251981;Good service, satisfied
875147;Good service, satisfied
875153;Good service, satisfied
21533372206042;Good service, satisfied
1457549;No opinion
21844456344640;Good service, satisfied
21715164366840;Not completely satisfied
1251129;No opinion
727148;No opinion
1454038;No opinion
1403584;Good service, satisfied
1251837;Good service, satisfied
1453508;Not completely satisfied
719731;Good service, satisfied
21942856303840;No opinion
719569;Good service, satisfied
719316;No opinion
1399819;Good service, satisfied
20156556677642;Good service, satisfied
1252413;Good service, satisfied
1245492;No opinion
725529;Good service, satisfied
720412;Good service, satisfied
22043864604638;Good service, satisfied
21931856686442;Good service, satisfied
1246024;Good service, satisfied
1454186;Good service, satisfied
23212860542648;No opinion
726757;Good service, satisfied
1398345;No opinion
719377;Good service, satisfied
875073;Not completely satisfied
24522656345448;Excellent service, very satisfied
1251848;Good service, satisfied
1246284;No opinion
1453884;Not completely satisfied
720226;No opinion
1246091;Good service, satisfied
21232356304640;No opinion
1454104;Not completely satisfied
21434064636240;Not completely satisfied
1453829;Not completely satisfied
1400361;Not completely satisfied
18855472217444;Excellent service, very satisfied
1453733;Good service, satisfied
719836;Excellent service, very satisfied
875178;Good service, satisfied
879946;Excellent service, very satisfied
875163;Good service, satisfied
1246350;Good service, satisfied
1457689;Excellent service, very satisfied
1457695;No opinion
1457701;Good service, satisfied
720369;Good service, satisfied
725524;Good service, satisfied
1400471;Excellent service, very satisfied
1453847;Good service, satisfied
24823352355248;No opinion
1252863;No opinion
1245737;No opinion
1246366;Good service, satisfied
21241364196840;No opinion
1246373;Good service, satisfied
21914764216840;No opinion
22262968684236;Good service, satisfied
24564952215848;No opinion
21583956577850;Not completely satisfied
21006588696638;Good service, satisfied
1454158;Good service, satisfied
720310;Good service, satisfied
1246142;Excellent service, very satisfied
1246011;Good service, satisfied
1453640;Excellent service, very satisfied
1453635;No opinion
20505088443846;Excellent service, very satisfied
22746152396454;Good service, satisfied
20565288605642;Good service, satisfied
1453525;Good service, satisfied
875235;Not completely satisfied
719558;Good service, satisfied
1245476;No opinion
875426;No opinion
719372;Excellent service, very satisfied
875410;No opinion
720485;Excellent service, very satisfied
720491;No opinion
720496;Good service, satisfied
1454074;Excellent service, very satisfied
1246103;Good service, satisfied
21444256284640;Good service, satisfied
720211;Good service, satisfied
19732476647442;No opinion
1251821;No opinion
20282468613638;Very bad service, very unsatisfied
1245951;Good service, satisfied
727750;Good service, satisfied
22594788446036;No opinion
1245802;Good service, satisfied
1245807;No opinion
1252470;No opinion
1245592;Good service, satisfied
18023268212848;Good service, satisfied
725534;Good service, satisfied
720322;No opinion
720316;Good service, satisfied
719762;No opinion
719814;Good service, satisfied
1245818;Good service, satisfied
1245825;Good service, satisfied
1245830;No opinion
1245845;Good service, satisfied
1245855;No opinion
1245860;Good service, satisfied
24243848502240;Good service, satisfied
21264356333840;Excellent service, very satisfied
1252475;Excellent service, very satisfied
1245866;Good service, satisfied
1251704;Good service, satisfied
21213856696046;No opinion
1245902;No opinion
1245929;Good service, satisfied
1251816;Good service, satisfied
1253182;Good service, satisfied
1252486;Good service, satisfied
21414156353840;Good service, satisfied
1253192;Good service, satisfied
875183;No opinion
1246393;Good service, satisfied
1251139;No opinion
21886064266840;Not completely satisfied
21494964276840;No opinion
21556964296840;No opinion
1246383;No opinion
21923072176652;No opinion
1246130;No opinion
719913;Good service, satisfied
19276160538042;Excellent service, very satisfied
1454068;Good service, satisfied
18081964253642;Good service, satisfied
22402264627448;Good service, satisfied
720032;No opinion
18076464123642;Excellent service, very satisfied
719924;Good service, satisfied
720005;Good service, satisfied
728228;Good service, satisfied
22245552665452;No opinion
1246148;No opinion
1246154;Good service, satisfied
726557;Good service, satisfied
18612956132442;No opinion
875459;Good service, satisfied
