DEPOT_ID;DEPOT;HVROUTETEMPLATE_NRID
0;Deinze;219020601
1;Deinze;219021241
2;Deinze;219024456
3;Deinze;219021882
4;Deinze;219022524
5;Deinze;219023167
6;Deinze;219023811
7;Deinze;219019324
8;Deinze;219019962
9;Deinze;289414945
10;Deinze;289757472
11;Deinze;70671404
12;Antwerpen;219018687
13;Antwerpen;289756470
14;Antwerpen;289755468
15;Antwerpen;289759476
16;Antwerpen;289763484
17;Antwerpen;289758474
18;Antwerpen;289762482
19;Antwerpen;289764486
20;Antwerpen;289760478
21;Vilvoorde;289416949
22;Vilvoorde;289761480
23;Vilvoorde;289419955
24;Vilvoorde;289417951
25;Vilvoorde;289418953
26;Vilvoorde;289411939
27;Vilvoorde;289412941
28;Vilvoorde;289661606
29;Vilvoorde;289413943
30;Vilvoorde;289655594
31;Vilvoorde;289659602
32;Vilvoorde;289660604
33;Vilvoorde;289656596
34;Vilvoorde;289656596
35;Vilvoorde;289664612
36;Aarschot;289663610
37;Aarschot;289662608
38;Aarschot;289658600
39;Aarschot;289657598
