HVROUTETEMPLATE_NRID;REGION;WEEKORDER;HVDAYOFWEEK_NRID
70671404.0;C04;1.0;1.0
219018687.0;C04;1.0;2.0
219019324.0;C04;1.0;3.0
219019962.0;C04;1.0;4.0
219020601.0;C04;1.0;5.0
219021241.0;C04;1.0;6.0
219021882.0;C04;2.0;2.0
219022524.0;C04;2.0;3.0
219023167.0;C04;2.0;4.0
219023811.0;C04;2.0;5.0
219024456.0;C04;2.0;6.0
289411939.0;B02;1.0;3.0
289412941.0;B02;1.0;4.0
289413943.0;B02;1.0;5.0
289414945.0;B02;1.0;6.0
289416949.0;B02;2.0;3.0
289417951.0;B02;2.0;4.0
289418953.0;B02;2.0;5.0
289419955.0;B02;2.0;6.0
289655594.0;C17;1.0;2.0
289656596.0;C17;1.0;3.0
289657598.0;C17;1.0;4.0
289658600.0;C17;1.0;5.0
289659602.0;C17;1.0;6.0
289660604.0;C17;2.0;2.0
289661606.0;C17;2.0;3.0
289662608.0;C17;2.0;4.0
289663610.0;C17;2.0;5.0
289664612.0;C17;2.0;6.0
289755468.0;B25;1.0;2.0
289756470.0;B25;1.0;3.0
289757472.0;B25;1.0;4.0
289758474.0;B25;1.0;5.0
289759476.0;B25;1.0;6.0
289760478.0;B25;2.0;2.0
289761480.0;B25;2.0;3.0
289762482.0;B25;2.0;4.0
289763484.0;B25;2.0;5.0
289764486.0;B25;2.0;6.0
