SO0_NRID;HVROUTETEMPLATE_NRID;CUST_TYPE;POSTCODE;LANGUAGE;SEASON_TYPE
721104.0;219020601.0;Private;3930;nl-BE;All time
721110.0;219020601.0;Private;3930;nl-BE;All time
721121.0;219020601.0;Private;3930;nl-BE;All time
721126.0;219020601.0;Private;3930;nl-BE;All time
721131.0;219020601.0;Private;3930;nl-BE;All time
721136.0;219020601.0;Private;3930;nl-BE;All time
721156.0;219020601.0;Private;3930;nl-BE;All time
721168.0;219020601.0;Private;3930;nl-BE;All time
721173.0;219020601.0;Private;3930;nl-BE;All time
721200.0;219021241.0;Private;3910;nl-BE;All time
721217.0;219021241.0;Private;3910;nl-BE;Summer
721223.0;219021241.0;Private;3910;nl-BE;All time
721228.0;219024456.0;Horeca;3910;nl-BE;All time
721242.0;219021241.0;Private;3910;nl-BE;All time
721248.0;219021241.0;Private;3910;nl-BE;All time
721254.0;219021241.0;Private;3910;nl-BE;All time
721265.0;219021241.0;Private;3910;nl-BE;All time
721270.0;219021241.0;Private;3910;nl-BE;Summer
721281.0;219021241.0;Private;3910;nl-BE;All time
721298.0;219021241.0;Private;3910;nl-BE;All time
721304.0;219021241.0;Private;3910;nl-BE;All time
721314.0;219021241.0;Private;3910;nl-BE;Summer
721319.0;219021241.0;Private;3910;nl-BE;All time
721357.0;219021241.0;Private;3910;nl-BE;Summer
721368.0;219021241.0;Private;3910;nl-BE;All time
721386.0;219021241.0;Private;3910;nl-BE;All time
721391.0;219021241.0;Private;3910;nl-BE;All time
721413.0;219021241.0;Private;3910;nl-BE;All time
721419.0;219021241.0;Private;3910;nl-BE;All time
721425.0;219021241.0;Private;3910;nl-BE;All time
721430.0;219021241.0;Private;3910;nl-BE;All time
721435.0;219021241.0;Private;3910;nl-BE;All time
721446.0;219021241.0;Private;3910;nl-BE;All time
721462.0;219021241.0;Private;3910;nl-BE;All time
721474.0;219021241.0;Private;3910;nl-BE;All time
721481.0;219021241.0;Private;3910;nl-BE;All time
721493.0;219021241.0;Private;3910;nl-BE;All time
721498.0;219021241.0;Private;3910;nl-BE;All time
721515.0;219021241.0;Private;3910;nl-BE;All time
721520.0;219021241.0;Private;3910;nl-BE;All time
721535.0;219021241.0;Private;3910;nl-BE;All time
721552.0;219021241.0;Private;3910;nl-BE;All time
721575.0;219021241.0;Private;3910;nl-BE;All time
721593.0;219021241.0;Private;3910;nl-BE;All time
721599.0;219021241.0;Private;3910;nl-BE;All time
721610.0;219021241.0;Private;3910;nl-BE;All time
