VISITRESULTDETAILS_NRID;AR0_NRID;QUANTITY;HVVISITRESULT_NRID
56055671;17545160268040;1.0;56055665.0
56055672;23699;2.0;56055665.0
56055675;23721;1.0;56055674.0
56010656;23714;1.0;56010655.0
56009821;23716;1.0;56009820.0
56009822;290318677;1.0;56009820.0
56009823;290318684;1.0;56009820.0
56009824;23736;1.0;56009820.0
56007649;17105588295040;1.0;56007648.0
56007650;21124152356448;1.0;56007648.0
56005318;23679;1.0;56005317.0
56005319;23678;1.0;56005317.0
56004494;48252441;1.0;56004493.0
56004495;19241188526644;1.0;56004493.0
56004555;23678;1.0;56004554.0
56004557;23678;1.0;56004556.0
56004591;23685;1.0;56004590.0
56013509;23679;1.0;56013508.0
56013609;23699;1.0;56013608.0
56013054;17604188674640;1.0;56013052.0
56013055;19114372104432;1.0;56013052.0
56013301;23735;1.0;56013300.0
56013302;18224652536642;1.0;56013300.0
55971690;23714;1.0;55971689.0
55968617;23714;1.0;55968616.0
55968189;23678;1.0;55968188.0
55968335;23685;1.0;55968334.0
55965695;23716;1.0;55965694.0
56040655;290318683;1.0;56040653.0
56040826;39258412;1.0;56040825.0
56040859;290318678;1.0;56040858.0
56040985;23721;1.0;56040984.0
56041015;23678;1.0;56041014.0
56041016;23679;1.0;56041014.0
56041245;17105588295040;1.0;56041244.0
56041283;19226988456644;1.0;56041282.0
56041284;46260776;1.0;56041282.0
56041330;23827;1.0;56041329.0
56041331;23678;1.0;56041329.0
56041332;23684;1.0;56041329.0
56041335;38848673;1.0;56041334.0
56041345;23678;1.0;56041344.0
56039447;23678;1.0;56039446.0
56039528;23719;1.0;56039527.0
56039864;23691;1.0;56039863.0
56002861;23735;1.0;56002860.0
56002783;23716;1.0;56002782.0
56002784;23746;1.0;56002782.0
56002786;23744;1.0;56002785.0
55956456;23678;1.0;55956455.0
55955738;23718;1.0;55955737.0
55955953;21792988536842;1.0;55955952.0
55910567;52285652;1.0;55910566.0
55910568;52285552;1.0;55910566.0
55910236;21792988536842;1.0;55910235.0
55908153;23678;1.0;55908152.0
55908154;23735;1.0;55908152.0
55908332;23760;1.0;55908331.0
55907731;23685;1.0;55907730.0
55907732;23688;1.0;55907730.0
55907912;23721;1.0;55907911.0
55907913;23716;1.0;55907911.0
55905319;23847;1.0;55905318.0
55905320;23716;1.0;55905318.0
55904720;290318682;1.0;55904719.0
55904721;290318655;1.0;55904719.0
55904722;42606882;1.0;55904719.0
55904796;23734;1.0;55904795.0
56069174;290318655;2.0;56069173.0
56069175;23721;1.0;56069173.0
56069176;23730;1.0;56069173.0
56069177;42606882;2.0;56069173.0
56068683;17453864687246;1.0;56068681.0
56068716;23716;1.0;56068715.0
56068717;23695;1.0;56068715.0
56068718;23734;1.0;56068715.0
56068182;23678;2.0;56068181.0
56045326;23685;1.0;56045325.0
56045465;23774;1.0;56045464.0
56044923;49133508;1.0;56044921.0
56044963;23678;1.0;56044962.0
56044964;17604188674640;1.0;56044962.0
56044965;20296288686840;1.0;56044962.0
56044970;23734;1.0;56044969.0
56044990;23685;1.0;56044989.0
56045103;23714;1.0;56045102.0
56045104;23678;1.0;56045102.0
56072280;23685;1.0;56072279.0
56071524;23685;1.0;56071523.0
56071525;23832;1.0;56071523.0
56071526;23684;1.0;56071523.0
56071527;23716;2.0;56071523.0
56071528;23778;1.0;56071523.0
56034248;23716;1.0;56034246.0
56034249;23761;1.0;56034246.0
56034251;23771;1.0;56034246.0
56034254;49133508;2.0;56034253.0
56034255;50623363;1.0;56034253.0
56033642;23678;1.0;56033641.0
56033644;23678;1.0;56033643.0
56033831;21792988536842;1.0;56033830.0
56030605;23678;1.0;56030604.0
56030606;23683;1.0;56030604.0
56030304;38848673;1.0;56030303.0
56030305;23678;1.0;56030303.0
56030525;23734;1.0;56030524.0
56027780;23678;1.0;56027779.0
56027781;290318678;1.0;56027779.0
56027782;23686;1.0;56027779.0
56036939;23677;1.0;56036938.0
56036941;17604188674640;1.0;56036940.0
56036942;19114372104432;1.0;56036940.0
56036943;19044872214432;1.0;56036940.0
56036276;23678;1.0;56036275.0
56036277;23686;1.0;56036275.0
56036278;23719;1.0;56036275.0
56036453;23678;1.0;56036452.0
55946330;23734;1.0;55946329.0
55946627;8600216;1.0;55946626.0
55946628;23678;1.0;55946626.0
55946662;23714;1.0;55946661.0
55993381;23734;1.0;55993380.0
55993397;23728;2.0;55993396.0
55993398;21792988536842;1.0;55993396.0
55991656;23735;1.0;55991655.0
55991744;23721;1.0;55991743.0
55991157;23678;1.0;55991156.0
55991159;23750;1.0;55991158.0
55991161;23716;1.0;55991160.0
55991438;23679;1.0;55991437.0
55991439;23683;1.0;55991437.0
55991440;23691;1.0;55991437.0
55988604;23734;1.0;55988603.0
55988666;23721;1.0;55988665.0
55988797;8600216;1.0;55988796.0
55988798;23760;1.0;55988796.0
55988799;23721;1.0;55988796.0
55988240;23714;1.0;55988239.0
55988241;23685;1.0;55988239.0
55988242;23695;1.0;55988239.0
55988248;23769;1.0;55988247.0
55988249;23735;1.0;55988247.0
55987714;23823;1.0;55987713.0
55899057;23678;1.0;55899056.0
55898721;39757489;1.0;55898720.0
55944228;23827;1.0;55944227.0
55944229;23686;1.0;55944227.0
55944231;23716;1.0;55944230.0
55943204;23685;1.0;55943203.0
55942095;23829;1.0;55942094.0
55942096;23688;1.0;55942094.0
55942097;23685;1.0;55942094.0
55942153;23714;1.0;55942152.0
55941779;23685;1.0;55941778.0
55929000;23685;2.0;55928999.0
55926432;23790;1.0;55926431.0
55926433;18275744643640;1.0;55926431.0
55926434;21792988536842;1.0;55926431.0
55925873;17956076227448;1.0;55925872.0
56048541;23716;1.0;56048540.0
56048583;23698;1.0;56048581.0
56048584;23716;1.0;56048581.0
56048592;23695;1.0;56048591.0
56072542;50668653;1.0;56072541.0
56072548;23784;1.0;56072547.0
56072117;23721;1.0;56072115.0
56072189;23747;1.0;56072188.0
56072190;23716;1.0;56072188.0
56072191;23746;1.0;56072188.0
56061218;23716;1.0;56061217.0
56061231;23715;1.0;56061230.0
56061233;23678;2.0;56061230.0
56061257;23716;1.0;56061256.0
56061258;23790;1.0;56061256.0
56061259;23685;1.0;56061256.0
56061119;23678;1.0;56061117.0
56061177;17684788374852;1.0;56061170.0
